run	BC1	BC2	BC3	BC4	BC5
919	1343.3880492107	1265.8429644018	4612.5743332919	5051.2769280642	4159.9782799434
920	1343.1241618992	1266.7137058014	4612.4236151280	5050.8045560053	4160.3369695136
921	1342.8276143789	1267.6649630510	4612.2415775987	5050.2830659491	4160.6906346410
922	1342.4961219932	1268.6991274898	4612.0235513411	5049.7116489256	4161.0370618889
923	1342.1274000858	1269.8185904567	4611.7648669922	5049.0894959650	4161.3740378204
924	1341.7191640002	1271.0257432908	4611.4608551891	5048.4157980973	4161.6993489988
925	1341.2691290799	1272.3229773312	4611.1068465687	5047.6897463526	4162.0107819873
926	1340.7750106685	1273.7126839168	4610.6981717680	5046.9105317610	4162.3061233491
927	1340.2345241094	1275.1972543868	4610.2301614241	5046.0773453526	4162.5831596474
928	1339.6453847463	1276.7790800801	4609.6981461739	5045.1893781575	4162.8396774456
929	1339.0053079226	1278.4605523358	4609.0974566545	5044.2458212058	4163.0734633068
930	1338.3120089819	1280.2440624929	4608.4234235029	5043.2458655275	4163.2823037941
931	0.0000000000	0.0000000000	4733.5871750624	5093.2402800674	4329.0944213502
932	0.0000000000	0.0000000000	4732.4780299193	5093.7668327404	4326.3629103585
933	0.0000000000	0.0000000000	4731.4143303034	5094.2837288587	4323.7073655678
934	0.0000000000	0.0000000000	4730.3953313360	5094.7910458643	4321.1267496092
935	0.0000000000	0.0000000000	4729.4202881382	5095.2888611994	4318.6200251142
936	0.0000000000	0.0000000000	4728.4884558313	5095.7772523058	4316.1861547142
937	0.0000000000	0.0000000000	4727.5990895365	5096.2562966257	4313.8241010404
938	0.0000000000	0.0000000000	4726.7514443752	5096.7260716009	4311.5328267242
939	0.0000000000	0.0000000000	4725.9447754684	5097.1866546735	4309.3112943971
940	0.0000000000	0.0000000000	4725.1783379375	5097.6381232856	4307.1584666902
941	0.0000000000	0.0000000000	4724.4513869036	5098.0805548790	4305.0733062351
942	0.0000000000	0.0000000000	4723.7631774881	5098.5140268959	4303.0547756630
943	0.0000000000	0.0000000000	4723.1129648122	5098.9386167782	4301.1018376053
944	0.0000000000	0.0000000000	4722.5000039970	5099.3544019680	4299.2134546933
945	0.0000000000	0.0000000000	4721.9235501639	5099.7614599071	4297.3885895584
946	0.0000000000	0.0000000000	4721.3828584341	5100.1598680377	4295.6262048320
947	0.0000000000	0.0000000000	4720.8771839288	5100.5497038018	4293.9252631454
948	0.0000000000	0.0000000000	4720.4057817692	5100.9310446413	4292.2847271300
949	0.0000000000	0.0000000000	4719.9679070767	5101.3039679983	4290.7035594171
950	0.0000000000	0.0000000000	4719.5628149723	5101.6685513147	4289.1807226380
951	0.0000000000	0.0000000000	4719.1897605775	5102.0248720326	4287.7151794242
952	0.0000000000	0.0000000000	4718.8479990133	5102.3730075940	4286.3058924069
953	0.0000000000	0.0000000000	4718.5367854011	5102.7130354408	4284.9518242175
954	0.0000000000	0.0000000000	4718.2553748621	5103.0450330151	4283.6519374875
955	0.0000000000	0.0000000000	4718.0030225175	5103.3690777590	4282.4051948481
956	0.0000000000	0.0000000000	4717.7789834886	5103.6852471143	4281.2105589306
957	0.0000000000	0.0000000000	4717.5825128965	5103.9936185231	4280.0669923665
958	0.0000000000	0.0000000000	4717.4128658626	5104.2942694274	4278.9734577871
959	0.0000000000	0.0000000000	4717.2692975081	5104.5872772692	4277.9289178238
960	0.0000000000	0.0000000000	4717.1510629542	5104.8727194906	4276.9323351078
961	0.0000000000	0.0000000000	4717.0574173221	5105.1506735334	4275.9826722706
962	0.0000000000	0.0000000000	4716.9876157331	5105.4212168398	4275.0788919435
963	2010.6404797978	1733.5064554367	4716.9409133084	5105.6844268518	4274.2199567578
964	2021.1391121622	1738.2528112935	4716.9165651693	5105.9403810112	4273.4048293450
965	2028.3027036594	1742.5866266091	4716.9138264371	5106.1891567602	4272.6324723363
966	2032.5439384630	1746.5239989497	4716.9319522328	5106.4308315408	4271.9018483632
967	2034.2755007461	1750.0810258819	4716.9701976778	5106.6654827949	4271.2119200569
